'id'|'parent_id'|'name'|'original'|'level'|'count'
'140311'|'145118'|'Оборудование для строительства'|'Строительное оборудование'|'3'|'923'
'140312'|'138554'|'Садово-огородный инвентарь'|''|'2'|'104'
'140313'|'138554'|'Техника для сада, огорода'|''|'2'|'57'
'140314'|'144609'|'Ликвидация нефтеразливов, газонефтеводопроявлений'|''|'2'|'18'
'140315'|'144610'|'Услуги ремонта выхлопных систем'|'Ремонт выхлопных систем'|'2'|'4099'
'140316'|'145121'|'Местные самоуправления граждан'|'Территориальные общественные самоуправления'|'3'|'469'
'140317'|'137874'|'Услуги прочистки газоходов, дымоходов'|''|'2'|'64'
'140318'|'137975'|'Сырье для фармацевтической промышленности'|'Сырьё для лекарственных средств'|'2'|'67'
'140319'|'144605'|'Курсы актерского мастерства'|'Театральные курсы'|'2'|'1570'
'140321'|'138307'|'Активные туры'|'Организация активных туров'|'2'|'918'
'140322'|'138350'|'Продажа асбестотехнической продукции'|'Асбестотехническая продукция'|'2'|'331'
'140323'|'144610'|'Услуги по отогреву автомобиля'|''|'2'|'104'
'140324'|'137794'|'Залы для концертных программ'|'Концертные залы'|'2'|'212'
'140325'|'138057'|'Мусоропроводы - продажа и обслуживание'|'Продажа, обслуживание мусоропроводов'|'2'|'57'
'140326'|'138307'|'Оборудование для конного спорта'|'Товары для конного спорта'|'2'|'256'
'140327'|'138399'|'Изготовление макетов'|'Макетные мастерские'|'2'|'79'
'140328'|'138577'|'Контрактное изготовление электроники'|'Контрактная разработка электронных устройств'|'2'|'71'
'140329'|'138399'|'Макеты, прототипы'|'Изготовление макетов, прототипирование'|'2'|'633'
'140330'|'144605'|'Генеалогические исследовательские центры'|'Центры генеалогии'|'2'|'43'
'140331'|'138462'|'Декоративные аквасистемы'|'Продажа, монтаж декоративных аквасистем'|'2'|'117'
'140332'|'138554'|'Продажа древесного угля'|'Древесный уголь'|'2'|'143'
'140391'|'137744'|'Пункты охрана общественного порядка'|'Общественные пункты охраны порядка'|'2'|'810'
'140392'|'144605'|'Лицеи-интернаты'|''|'2'|'40'
'140393'|'144605'|'Обсерватории и планетарии'|'Обсерватории'|'2'|'17'
'140400'|'144605'|'Школы милиции'|''|'2'|'0'
'140401'|'137794'|'Рюмочные'|''|'2'|'86'
'140402'|'145117'|'Ремонт дверей и замочной продукции'|''|'3'|'260'
'140403'|'138554'|'Ремонт дачного инвентаря и техники'|'Ремонт садово-огородного инвентаря, техники'|'2'|'297'
'140404'|'144607'|'Магазины ювелирных камней'|'Ювелирные камни'|'2'|'592'
'140405'|'137744'|'Грантовые организации'|'Гранты'|'2'|'23'
'140407'|'137874'|'Гидроэлектростанции'|''|'2'|'19'
'140410'|'137975'|'Вакцинационные центры'|'Услуги вакцинации'|'2'|'31'
'140414'|'145114'|'Техника для производства окон'|'Оборудование для производства окон'|'3'|'120'
'140415'|'138189'|'Пуховые изделия'|''|'2'|'39'
'140416'|'138228'|'Продажа оболочки для колбачных изделий'|'Оболочка для колбасных изделий'|'2'|'81'
'140417'|'138263'|'Услуги по согласованию наружной рекламы'|'Согласование наружной рекламы'|'2'|'1070'
'140420'|'138399'|'Управление коммерческой недвижимостью'|''|'2'|'34'
'140422'|'144607'|'Гигиенические товары для гостиниц и санаториев'|'Товары индивидуального пользования для гостиниц, санаториев'|'2'|'202'
'140423'|'144607'|'Живые бабочки'|'Продажа живых бабочек'|'2'|'68'
'140424'|'138593'|'Службы досудебного урегулирования конфликтов'|'Внесудебное, досудебное урегулирование конфликтов'|'2'|'572'
'140425'|'144604'|'Техника для утилизации отходов'|'Оборудование для утилизации отходов'|'2'|'192'
'140426'|'144604'|'Техника для автошкол'|'Оборудование для автошкол'|'2'|'26'
'140429'|'138399'|'Услуги проектирования мостов и дорог'|'Проектирование дорог, мостов'|'2'|'621'
'140431'|'137975'|'Консультации и услуги сексолога'|'Услуги сексолога'|'2'|'378'
'140432'|'138399'|'Возведение сооружений сельскохозяйственного назначения'|'Строительство сооружений сельскохозяйственного назначения'|'2'|'570'
'140433'|'138399'|'Услуги девелоперов'|''|'2'|'302'
'140434'|'138476'|'Такси для перевозки животных'|'Заказ легкового транспорта по перевозке животных'|'2'|'306'
'140435'|'138593'|'Услуги независимой инвентаризации'|'Независимая инвентаризация'|'2'|'88'
'140436'|'144605'|'Курсы для диджеев'|'Курсы диджеев'|'2'|'121'
'140437'|'144605'|'Курсы имидж-консультантов и стилистов'|'Обучение имидж-консультантов'|'2'|'103'
'140438'|'138554'|'Тара из металлов и сплавов'|'Металлическая, жестяная тара'|'2'|'13'
'140598'|'137744'|'Органы райпо и горпо'|'Горпо, райпо'|'2'|'107'
'140599'|'138263'|'Восстановление печатной  продукции'|''|'2'|'57'
'140664'|'138307'|'Услуги оформления загранпаспорта'|'Помощь в оформлении загранпаспортов'|'2'|'2454'
'140665'|'138593'|'Помощь во внешнеэкономической деятельности'|'Организация внешнеэкономической деятельности'|'2'|'577'
'140668'|'138462'|'Таксидермия'|'Таксидермические студии'|'2'|'86'
'140669'|'138476'|'Услуги дизайна аквариумов'|'Дизайн аквариумов'|'2'|'132'
'140701'|'144668'|'Управление территориальными округами'|''|'3'|'4'
'140704'|'144753'|'Жилищно-коммунальное хозяйство'|'Жкх'|'3'|'239'
'140705'|'144761'|'Товарищества жильцов'|''|'3'|'12'
'140719'|'144608'|'Проездные билеты и транспортные карты'|'Продажа проездных билетов'|'2'|'1117'
'140720'|'138057'|'Химия профессиональная'|'Профессиональная химия'|'2'|'1224'
'140747'|'137744'|'Организации народных дружин'|'Народные дружины'|'2'|'60'
'140748'|'144604'|'Оборудование для ткацких производств'|'Ткацкое оборудование'|'2'|'61'
'140778'|'137975'|'Лечение и профилактика диабета'|'Диабетологические центры'|'2'|'50'
'140779'|'138057'|'Углеродные и композиционные материалы'|'Графитированное производство'|'2'|'92'
'140780'|'138057'|'Строительство, ремонт нефтяных резервуаров'|''|'2'|'39'
'140781'|'144604'|'Стропы, грузозахватывающее оборудование'|''|'2'|'55'
'140782'|'145115'|'Косметологические курсы'|'Обучение косметологов'|'3'|'109'
'140787'|'138399'|'Установка входных групп'|''|'2'|'152'
'140789'|'138399'|'Услуги промышленного дизайна'|'Промышленный дизайн'|'2'|'94'
'140790'|'137838'|'Геоинформационные истемы и услуги зондирования земли'|'Дистанционное зондирование земли (дзз), геоинформационные системы (гис)'|'2'|'31'
'140791'|'137838'|'Карты экспресс-оплаты'|''|'2'|'6'
'140792'|'144604'|'Промышленные трубы, элементы трубопровода'|''|'2'|'103'
'140793'|'145119'|'Возведение мостов, путепроводов, метрополитена'|''|'3'|'148'
'140794'|'144607'|'Войлочно-валяные изделия'|'Валяльно-войлочные изделия'|'2'|'147'
'140795'|'144608'|'Пассажирские перевозки на дальние расстояния'|'Междугородные, международные пассажирские перевозки'|'2'|'719'
'140796'|'137794'|'Аэродинамическая труба'|'Аэродинамические комплексы'|'2'|'55'
'140797'|'137948'|'Пластиковая мебель'|''|'2'|'25'
'140799'|'138399'|'Работы по гидроизоляции'|'Гидроизоляционные работы'|'2'|'1239'
'140869'|'137925'|'Дацаны'|''|'2'|'8'
'140885'|'138350'|'Двери, комплектующие'|''|'2'|'666'
'140886'|'138399'|'Услуги строительства АЭС, ТЭЦ, ГЭС'|'Строительство и обслуживание аэс, гэс, тэц'|'2'|'208'
'140943'|'144610'|'Замена ремней грм'|''|'2'|'195'
'140946'|'137744'|'Администрации округов'|''|'2'|'2'
'140951'|'137874'|'Жэк'|''|'2'|'6'
'140952'|'137874'|'Жэу'|''|'2'|'17'
'140954'|'144604'|'Оборудование для лингафонных кабинетов'|'Лингафонное оборудование'|'2'|'23'
'140964'|'144605'|'Обучение по промышленной безопасности'|''|'2'|'38'
'140965'|'137975'|'Услуги генетика'|''|'2'|'2'
'141075'|'144608'|'Продажа проездных билетов, транспортных карт'|''|'2'|'2'
'141110'|'137744'|'Медвытрезвители'|''|'2'|'2'
'141111'|'138216'|'Очистка местности от взрывоопасных предметов (воп)'|''|'2'|'7'
'141112'|'144608'|'Автомобилестроительные организации'|'Автомобилестроение'|'2'|'102'
'141113'|'138577'|'Судовое электрооборудование, арматура'|''|'2'|'54'
'141114'|'144608'|'Автодома'|'Продажа, прокат автодомов'|'2'|'34'
